entry_time,exit_time,side,entry_price,exit_price,pnl_usd,equity_after,exit_reason,entry_probability,trade_day,stop_loss_usd
2025-03-20 07:00:00,2025-03-24 14:00:00,short,85966.11,88354.48,-119.41849999999977,9880.5815,stop_loss,0.4182976221188797,2025-03-20,100.0
2025-03-24 19:00:00,2025-03-25 07:30:00,short,88482.9,86358.21,106.2344999999994,9986.815999999999,opposite_divergence,0.39717330246580174,2025-03-24,98.80581500000001
2025-03-25 20:00:00,2025-03-26 16:45:00,short,88380.0,86513.99,93.30049999999974,10080.116499999998,opposite_divergence,0.4060954385347758,2025-03-25,99.86815999999999
2025-03-27 09:00:00,2025-03-28 11:00:00,short,87482.88,84817.61,133.26350000000022,10213.38,opposite_divergence,0.41345786011178615,2025-03-27,100.80116499999998
2025-03-29 17:00:00,2025-04-02 17:00:00,long,81909.58,87223.99,265.7205000000002,10479.100499999999,opposite_divergence,0.44038787550978364,2025-03-29,102.1338
2025-04-03 14:45:00,2025-04-04 09:45:00,long,81532.0,84571.38,151.96900000000025,10631.0695,opposite_divergence,0.462312805986823,2025-04-03,104.79100499999998
2025-04-06 11:00:00,2025-04-06 18:00:00,long,82752.63,80312.34,-122.01450000000041,10509.054999999998,stop_loss,0.4319227671851308,2025-04-06,106.310695
2025-04-07 04:30:00,2025-04-09 01:15:00,long,76807.07,74690.57,-105.825,10403.229999999998,stop_loss,0.4706394062481796,2025-04-07,105.09055
2025-04-10 02:00:00,2025-04-12 14:15:00,short,82510.28,84884.73,-118.72249999999985,10284.507499999998,stop_loss,0.4264189997350242,2025-04-10,104.03229999999998
2025-04-15 08:30:00,2025-04-21 14:15:00,short,85878.94,88366.04,-124.35499999999956,10160.152499999998,stop_loss,0.43200861355531295,2025-04-15,102.84507499999998
2025-04-22 19:15:00,2025-04-23 06:00:00,short,91640.0,93720.0,-104.0,10056.152499999998,stop_loss,0.38087133986108673,2025-04-22,101.60152499999998
2025-04-23 12:00:00,2025-05-01 10:15:00,short,93782.61,96318.77,-126.80800000000018,9929.344499999997,stop_loss,0.4452036618224799,2025-04-23,100.56152499999999
2025-05-01 15:00:00,2025-05-03 08:00:00,short,97384.98,96160.01,61.248500000000064,9990.592999999997,opposite_divergence,0.407225214932496,2025-05-01,99.29344499999998
2025-05-05 01:45:00,2025-05-07 10:30:00,long,93929.0,97054.34,156.26699999999983,10146.859999999997,opposite_divergence,0.43484778688120196,2025-05-05,99.90592999999997
2025-05-08 10:15:00,2025-05-08 20:30:00,short,99818.0,102114.1,-114.80500000000029,10032.054999999997,stop_loss,0.45896657524964196,2025-05-08,101.46859999999997
2025-05-09 20:15:00,2025-05-10 19:00:00,short,103318.08,103085.53,11.627500000000147,10043.682499999997,opposite_divergence,0.43789700604432236,2025-05-09,100.32054999999997
2025-05-14 14:15:00,2025-05-18 22:45:00,long,103081.2,105928.1,142.34500000000045,10186.027499999998,opposite_divergence,0.47482517525863094,2025-05-14,100.43682499999997
2025-05-19 17:45:00,2025-05-21 04:30:00,short,105380.95,107521.4,-107.02249999999987,10079.005,stop_loss,0.4542331846070433,2025-05-19,101.86027499999999
2025-05-26 01:30:00,2025-05-26 22:45:00,short,109635.9,109190.48,22.270999999999916,10101.276,opposite_divergence,0.39213377394495547,2025-05-26,100.79005
2025-05-27 02:45:00,2025-05-29 17:30:00,long,108272.72,106156.42,-105.81500000000015,9995.461,stop_loss,0.4085959711617309,2025-05-27,101.01276
2025-06-01 20:30:00,2025-06-02 13:45:00,short,105262.63,103800.0,73.13150000000023,10068.592499999999,opposite_divergence,0.336498365339681,2025-06-01,99.95461
2025-06-07 13:30:00,2025-06-09 11:30:00,short,105651.17,107737.42,-104.3125,9964.279999999999,stop_loss,0.39268530245492256,2025-06-07,100.685925
2025-06-10 00:15:00,2025-06-10 18:00:00,short,110277.53,108707.54,78.49950000000027,10042.779499999999,opposite_divergence,0.4096043345981566,2025-06-10,99.6428
2025-06-12 07:30:00,2025-06-13 00:00:00,long,107592.85,104328.68,-163.20850000000064,9879.570999999998,stop_loss,0.408581460829309,2025-06-12,100.42779499999999
2025-06-14 08:00:00,2025-06-16 06:15:00,long,104896.74,106712.05,90.76549999999989,9970.336499999998,opposite_divergence,0.41829452456845523,2025-06-14,98.79570999999999
2025-06-16 22:00:00,2025-06-17 13:30:00,short,108783.77,105317.85,173.29599999999994,10143.632499999998,opposite_divergence,0.443970615198222,2025-06-16,99.70336499999998
2025-06-20 23:00:00,2025-06-22 13:30:00,long,103041.41,100343.92,-134.87450000000027,10008.757999999998,stop_loss,0.3634709678556144,2025-06-20,101.43632499999998
2025-06-24 06:30:00,2025-06-25 13:15:00,short,105693.71,107870.16,-108.82249999999986,9899.935499999998,stop_loss,0.3548250948067869,2025-06-24,100.08757999999999
2025-06-26 15:30:00,2025-06-27 22:15:00,long,106923.02,107178.18,12.757999999999448,9912.693499999998,opposite_divergence,0.410385161478528,2025-06-26,98.99935499999998
2025-06-30 01:30:00,2025-06-30 10:00:00,short,108759.98,107460.0,64.9989999999998,9977.692499999997,opposite_divergence,0.39923265953562215,2025-06-30,99.12693499999997
2025-07-01 23:00:00,2025-07-02 10:45:00,long,105384.73,107848.95,123.21100000000007,10100.903499999997,opposite_divergence,0.380573293266813,2025-07-01,99.77692499999998
2025-07-04 19:15:00,2025-07-06 00:30:00,long,107274.0,108249.99,48.799500000000265,10149.702999999998,opposite_divergence,0.412836498183967,2025-07-04,101.00903499999997
2025-07-06 02:00:00,2025-07-09 19:15:00,short,108250.0,110346.01,-104.80049999999974,10044.902499999998,stop_loss,0.4300577199173946,2025-07-06,101.49702999999998
2025-07-11 09:30:00,2025-07-14 03:30:00,short,118583.87,121169.58,-129.28550000000033,9915.616999999998,stop_loss,0.35149723123457843,2025-07-11,100.44902499999999
2025-07-15 10:00:00,2025-07-16 17:15:00,long,116744.49,119635.87,144.5689999999995,10060.185999999998,opposite_divergence,0.37586642826278926,2025-07-15,99.15616999999999
2025-07-16 18:30:00,2025-07-18 18:45:00,short,119710.06,117310.72,119.96699999999983,10180.152999999998,opposite_divergence,0.4740716954740242,2025-07-16,100.60185999999999
2025-07-22 13:30:00,2025-07-23 21:15:00,short,119464.0,117559.99,95.20049999999975,10275.353499999997,opposite_divergence,0.4446430314108836,2025-07-22,101.80152999999999
2025-07-24 06:30:00,2025-07-24 13:15:00,long,117450.0,118686.0,61.800000000000004,10337.153499999997,opposite_divergence,0.4087305910907888,2025-07-24,102.75353499999997
2025-07-24 18:00:00,2025-07-25 07:30:00,short,119304.49,115181.06,206.17150000000038,10543.324999999997,opposite_divergence,0.44203045079493297,2025-07-24,103.37153499999997
2025-07-25 14:45:00,2025-07-25 22:30:00,long,114960.01,117340.15,119.00699999999998,10662.331999999997,opposite_divergence,0.3635338874955251,2025-07-25,105.43324999999997
2025-07-26 08:45:00,2025-07-27 22:00:00,short,117557.14,119701.24,-107.2050000000003,10555.126999999997,stop_loss,0.4491177999015391,2025-07-26,106.62331999999996
2025-07-30 08:45:00,2025-08-01 22:30:00,short,118372.73,113066.0,265.33649999999983,10820.463499999996,opposite_divergence,0.43678312922458723,2025-07-30,105.55126999999997
2025-08-04 17:00:00,2025-08-05 05:30:00,short,115696.79,114244.91,72.59399999999951,10893.057499999995,opposite_divergence,0.37822059430780874,2025-08-04,108.20463499999997
2025-08-07 22:45:00,2025-08-11 01:30:00,short,117554.23,119758.9,-110.23349999999992,10782.823999999995,stop_loss,0.34289477348406716,2025-08-07,108.93057499999996
2025-08-11 22:15:00,2025-08-12 19:15:00,long,118517.99,119820.39,65.1199999999997,10847.943999999994,opposite_divergence,0.4179038445574342,2025-08-11,107.82823999999995
2025-08-12 23:30:00,2025-08-13 19:30:00,short,120244.55,122423.9,-108.96749999999957,10738.976499999995,stop_loss,0.4521633642957537,2025-08-12,108.47943999999994
2025-08-14 21:30:00,2025-08-17 08:45:00,long,117567.57,118366.06,39.92449999999954,10778.900999999994,opposite_divergence,0.41839301040510835,2025-08-14,107.38976499999995
2025-08-17 13:45:00,2025-08-18 05:30:00,short,118429.99,115163.67,163.31600000000037,10942.216999999995,opposite_divergence,0.4251709823564269,2025-08-17,107.78900999999995
2025-08-18 11:45:00,2025-08-20 01:30:00,long,114947.27,112698.0,-112.46350000000021,10829.753499999995,stop_loss,0.4031737997611862,2025-08-18,109.42216999999995
2025-08-22 18:00:00,2025-08-24 16:45:00,short,117410.0,114275.0,156.75,10986.503499999995,opposite_divergence,0.34068858960996756,2025-08-22,108.29753499999995
2025-08-25 13:30:00,2025-08-29 14:30:00,long,110831.99,108564.0,-113.39950000000027,10873.103999999996,stop_loss,0.44811872424430765,2025-08-25,109.86503499999995
2025-08-31 06:15:00,2025-09-02 06:15:00,long,108578.95,110446.02,93.35350000000035,10966.457499999997,opposite_divergence,0.3881413568226947,2025-08-31,108.73103999999996
2025-09-02 09:00:00,2025-09-04 10:45:00,short,110603.15,110628.86,-1.2855000000003203,10965.171999999997,opposite_divergence,0.4145660196028052,2025-09-02,109.66457499999997
2025-09-05 17:30:00,2025-09-07 11:45:00,long,110359.69,111292.13,46.62200000000012,11011.793999999996,opposite_divergence,0.4257942376639524,2025-09-05,109.65171999999997
2025-09-08 13:00:00,2025-09-11 13:45:00,short,112328.0,114628.08,-115.00400000000009,10896.789999999995,stop_loss,0.42845555734985563,2025-09-08,110.11793999999996
2025-09-12 23:30:00,2025-09-14 15:45:00,short,116152.33,115224.01,46.41600000000035,10943.205999999996,opposite_divergence,0.4623840302725922,2025-09-12,108.96789999999996
2025-09-16 01:45:00,2025-09-16 20:30:00,long,115024.24,116874.07,92.49150000000009,11035.697499999997,opposite_divergence,0.3863544074978875,2025-09-16,109.43205999999996
2025-09-18 01:30:00,2025-09-19 19:45:00,short,116832.31,115125.12,85.35950000000012,11121.056999999997,opposite_divergence,0.4869056401123623,2025-09-18,110.35697499999996
2025-09-21 04:45:00,2025-09-22 06:00:00,long,115494.23,113010.87,-124.16800000000003,10996.888999999997,stop_loss,0.38390195101598984,2025-09-21,111.21056999999998
2025-09-23 03:00:00,2025-09-24 17:00:00,long,111810.11,113860.02,102.49550000000018,11099.384499999998,opposite_divergence,0.3678385145030279,2025-09-23,109.96888999999997
2025-09-26 00:30:00,2025-09-28 00:15:00,long,108809.25,109787.74,48.924500000000265,11148.309,opposite_divergence,0.44643512484427816,2025-09-26,110.99384499999998
2025-09-29 17:45:00,2025-09-30 15:15:00,short,114043.91,113050.33,49.67900000000009,11197.988,opposite_divergence,0.47290380538850524,2025-09-29,111.48308999999999
2025-10-01 21:00:00,2025-10-02 15:45:00,short,117579.43,119910.78,-116.5675000000003,11081.420499999998,stop_loss,0.40802033388812003,2025-10-01,111.97988
2025-10-06 02:45:00,2025-10-07 18:15:00,short,124110.61,120747.51,168.1550000000003,11249.575499999999,opposite_divergence,0.41689730683818754,2025-10-06,110.81420499999999
2025-10-08 05:30:00,2025-10-10 15:45:00,long,121292.76,119018.98,-113.68899999999995,11135.886499999999,stop_loss,0.3896713837443522,2025-10-08,112.49575499999999
2025-10-12 22:30:00,2025-10-14 07:30:00,short,115389.99,111668.97,186.05100000000022,11321.937499999998,opposite_divergence,0.3503104745531121,2025-10-12,111.358865
2025-10-14 23:00:00,2025-10-16 06:00:00,short,113445.13,110938.47,125.33300000000018,11447.270499999999,opposite_divergence,0.4377046356302135,2025-10-14,113.21937499999999
2025-10-16 18:15:00,2025-10-17 08:00:00,long,107865.79,105146.19,-135.97999999999956,11311.2905,stop_loss,0.42014718504729925,2025-10-16,114.47270499999999
2025-10-19 15:00:00,2025-10-20 05:30:00,short,108499.03,110796.75,-114.88600000000007,11196.404499999999,stop_loss,0.3718236380791974,2025-10-19,113.112905
2025-10-20 14:15:00,2025-10-21 08:30:00,short,111275.05,107599.81,183.76200000000028,11380.1665,opposite_divergence,0.40402560566249296,2025-10-20,111.96404499999998
2025-10-22 18:00:00,2025-10-26 13:30:00,long,107734.85,113846.36,305.57549999999975,11685.741999999998,opposite_divergence,0.35727505137248705,2025-10-22,113.801665
2025-10-26 19:15:00,2025-10-27 06:45:00,short,113690.44,116053.49,-118.15250000000015,11567.589499999998,stop_loss,0.3966336224269286,2025-10-26,116.85741999999999
2025-10-28 05:45:00,2025-10-29 16:00:00,long,113605.31,111052.16,-127.65749999999971,11439.931999999999,stop_loss,0.40284137682243426,2025-10-28,115.67589499999998
2025-11-02 11:45:00,2025-11-02 20:15:00,short,111196.99,109921.91,63.75400000000009,11503.686,opposite_divergence,0.3867683208269323,2025-11-02,114.39931999999999
2025-11-03 09:45:00,2025-11-04 05:45:00,long,107197.94,104215.76,-149.10900000000038,11354.577,stop_loss,0.3680637356721183,2025-11-03,115.03686
2025-11-04 09:00:00,2025-11-04 17:00:00,long,103832.94,101339.92,-124.65100000000021,11229.926,stop_loss,0.41011477849441985,2025-11-04,113.54576999999999
2025-11-05 01:15:00,2025-11-05 20:00:00,long,99113.39,104520.0,270.33050000000003,11500.2565,opposite_divergence,0.45412233307564914,2025-11-05,112.29926
2025-11-08 07:15:00,2025-11-09 16:45:00,long,102083.2,103845.04,88.09199999999983,11588.3485,opposite_divergence,0.37920103198902255,2025-11-08,115.002565
2025-11-09 23:00:00,2025-11-12 19:15:00,short,104935.2,101085.61,192.47949999999983,11780.828,opposite_divergence,0.38478463801307106,2025-11-09,115.88348500000001
2025-11-13 20:45:00,2025-11-14 12:00:00,long,98162.11,95609.54,-127.62850000000036,11653.199499999999,stop_loss,0.45839477601265144,2025-11-13,117.80828
2025-11-14 23:15:00,2025-11-17 02:00:00,long,94324.25,95314.11,49.49300000000003,11702.6925,opposite_divergence,0.47477392703517457,2025-11-14,116.531995
2025-11-19 20:00:00,2025-11-20 20:00:00,long,88721.3,86335.17,-119.30650000000024,11583.385999999999,stop_loss,0.4256313446066115,2025-11-19,117.02692499999999
2025-11-22 12:15:00,2025-11-23 13:45:00,long,83666.32,86928.31,163.09949999999955,11746.485499999999,opposite_divergence,0.4340009121262317,2025-11-22,115.83385999999999
2025-11-23 22:45:00,2025-11-26 22:45:00,short,88004.0,90386.57,-119.12850000000036,11627.356999999998,stop_loss,0.3930814419102216,2025-11-23,117.46485499999999
2025-12-02 19:30:00,2025-12-06 00:00:00,short,92134.74,89114.88,150.99300000000002,11778.349999999999,opposite_divergence,0.4412566842314241,2025-12-02,116.27356999999998
2025-12-09 03:00:00,2025-12-12 12:45:00,long,89985.42,92419.99,121.72850000000035,11900.0785,opposite_divergence,0.4210563325199806,2025-12-09,117.78349999999999
2025-12-14 19:30:00,2025-12-15 05:15:00,long,88602.5,89704.75,55.112500000000004,11955.190999999999,opposite_divergence,0.42893326623253236,2025-12-14,119.000785
2025-12-15 09:15:00,2025-12-16 03:15:00,short,89887.99,85711.71,208.81399999999996,12164.005,opposite_divergence,0.4177644366301734,2025-12-15,119.55190999999999
2025-12-21 07:30:00,2025-12-22 09:45:00,long,88063.42,89829.6,88.30900000000038,12252.314,opposite_divergence,0.39797772312941904,2025-12-21,121.64004999999999
2025-12-25 07:45:00,2025-12-26 00:30:00,short,87837.59,86971.48,43.30550000000003,12295.6195,opposite_divergence,0.42344251549431655,2025-12-25,122.52314000000001
2025-12-27 06:30:00,2025-12-28 00:30:00,long,87457.37,87885.99,21.431000000000495,12317.050500000001,opposite_divergence,0.34875810270059354,2025-12-27,122.95619500000001
2025-12-30 16:15:00,2025-12-31 20:30:00,short,89218.56,87434.95,89.18050000000004,12406.231000000002,opposite_divergence,0.35737962596084993,2025-12-30,123.17050500000002
2026-01-01 19:45:00,2026-01-04 00:00:00,short,88391.15,91399.99,-150.44200000000055,12255.789,stop_loss,0.37471433554765116,2026-01-01,124.06231000000002
2026-01-05 12:00:00,2026-01-08 12:00:00,short,93155.57,89884.59,163.54900000000055,12419.338000000002,opposite_divergence,0.40790055519721136,2026-01-05,122.55789000000001
2026-01-13 14:30:00,2026-01-13 22:00:00,short,92700.1,95604.1,-145.20000000000002,12274.138,stop_loss,0.3251201157142446,2026-01-13,124.19338000000002
2026-01-14 17:00:00,2026-01-16 01:00:00,short,97682.49,95473.58,110.44550000000018,12384.5835,opposite_divergence,0.407920051533481,2026-01-14,122.74138
2026-01-16 02:00:00,2026-01-16 23:15:00,long,95473.28,95557.0,4.186000000000059,12388.7695,opposite_divergence,0.4030098750978499,2026-01-16,123.84583500000001
2026-01-19 02:00:00,2026-01-20 17:30:00,long,92421.83,89688.01,-136.69100000000034,12252.0785,stop_loss,0.3654064550879737,2026-01-19,123.88769500000001
2026-01-21 08:30:00,2026-01-21 19:45:00,long,89035.36,90355.56,66.00999999999986,12318.0885,opposite_divergence,0.3535014941385612,2026-01-21,122.520785
2026-01-25 14:30:00,2026-01-26 05:15:00,long,88684.64,87865.01,-40.98150000000024,12277.107,opposite_divergence,0.4004851583225608,2026-01-25,123.180885
2026-01-27 23:15:00,2026-01-29 09:45:00,short,89502.7,87892.01,80.53450000000012,12357.6415,opposite_divergence,0.42647739192548795,2026-01-27,122.77107000000001
2026-01-29 18:45:00,2026-01-31 14:30:00,long,83477.02,80995.78,-124.06200000000027,12233.5795,stop_loss,0.4392670466146281,2026-01-29,123.576415
2026-02-01 21:45:00,2026-02-03 08:30:00,long,76526.03,79005.32,123.96450000000041,12357.544,opposite_divergence,0.45340309554752234,2026-02-01,122.335795
2026-02-07 10:30:00,2026-02-08 11:45:00,long,67793.87,70999.98,160.30550000000005,12517.8495,opposite_divergence,0.46202012634703044,2026-02-07,123.57544
2026-02-09 13:45:00,2026-02-11 16:45:00,long,68594.57,66039.09,-127.77400000000053,12390.075499999999,stop_loss,0.539308451593954,2026-02-09,125.17849500000001
2026-02-17 00:00:00,2026-02-18 16:00:00,short,68899.99,67072.01,91.39900000000053,12481.4745,opposite_divergence,0.5376078163758661,2026-02-17,123.90075499999999
2026-02-20 03:15:00,2026-02-23 04:30:00,short,67414.25,64728.73,134.27599999999984,12615.7505,opposite_divergence,0.5001332434829967,2026-02-20,124.814745
2026-02-24 05:15:00,2026-02-24 20:30:00,long,62820.77,64499.99,83.96100000000007,12699.7115,opposite_divergence,0.4570517342947262,2026-02-24,126.157505
2026-02-27 14:30:00,2026-02-28 06:45:00,long,65880.01,63216.01,-133.19999999999965,12566.5115,stop_loss,0.44821346131636525,2026-02-27,126.997115
2026-02-28 22:30:00,2026-03-01 11:30:00,short,67338.93,66387.6,47.566499999999365,12614.078,opposite_divergence,0.5150336377262176,2026-02-28,125.66511500000001
2026-03-02 05:30:00,2026-03-02 15:30:00,short,66976.9,69516.47,-126.97850000000035,12487.099499999998,stop_loss,0.5481547699723236,2026-03-02,126.14077999999999
2026-03-04 01:30:00,2026-03-04 09:15:00,short,68711.48,71310.0,-129.92600000000022,12357.173499999999,stop_loss,0.5596405188463324,2026-03-04,124.870995
2026-03-04 17:00:00,2026-03-06 16:00:00,short,73545.44,68333.77,260.5834999999999,12617.757,opposite_divergence,0.5799147029922835,2026-03-04,123.57173499999999
2026-03-11 05:45:00,2026-03-12 19:45:00,long,69510.36,70432.32,46.098000000000326,12663.855,opposite_divergence,0.5082114948469253,2026-03-11,126.17757
2026-03-15 10:15:00,2026-03-16 21:30:00,short,71862.46,74436.0,-128.67699999999968,12535.178,stop_loss,0.4965693952714481,2026-03-15,126.63855
